name,country,skewb
Chris Yoder,USA,900
Aakash Jois,Australia,900
Jakob Fiechter,Austria,900
Alex Patti,Australia,900
Ethan Hickman,Australia,899
Wyatt Idell,USA,899
Joel Potter,New Zealand,899
Lincoln Pearce,Australia,899
Jiming Ran (冉济铭),China,898
Vincent Contini,Australia,898
Acar Gök,Turkey,898
Asla Väyrynen,Finland,898
Arghadeep Mukherjee,India,898
Hao Xiang (向浩),China,898
Levi Gibson,USA,898
Peter Grassard,France,898
Charlie Stark,United Kingdom,898
Jiashuo Xie (谢佳烁),China,898
Wout Plaum,Belgium,898
Zishuo Zhang (张子硕),China,898
Oscar Nieto,Colombia,897
Tor Torstensson,Sweden,897
Vincent Chen,USA,897
Alexander Chieng,Australia,897
Dagne Poveda,Costa Rica,897
Charlie van Ooran,Australia,897
Lucas Buck,New Zealand,897
Pierre Morice-Le Moel,France,897
David Ju,USA,897
Eli Disbrow,USA,897
Wojciech Kotulski,Poland,897
Oliver Thompson,USA,897
Ke Wang (王轲),China,896
Andrew Y. Feng,USA,896
Kristina Kostova,Bulgaria,896
Vilius Ribinskas,Lithuania,896
Han-Lin Wu (吳翰霖),Taiwan,896
Vladimir Vasiliev (Владимир Васильев),Russia,896
Huston Vu-Duc,Russia,896
Eduardo Antonio Lara Martínez,Mexico,896
Derek McNee,USA,896
Siyi He (何思仪),China,896
Graham Kaplan,USA,896
Zexin Wang (王泽鑫),China,896
Vaishakh Kargudri,India,895
Zac Graham,Australia,895
Ruimin Yan (颜瑞民),China,895
Dylan Beetge,Australia,895
Maxwell Fairbanks,USA,895
Alex Kuepper,USA,895
Kaigan Yu (俞凯淦),China,895
Andre Nguyen,Australia,895
Oliver Michael Sitja Sichel,USA,895
William Callow,United Kingdom,895
Jonas Senga,Australia,895
Saavar Bajaj,Australia,894
Benjamin Verinder,USA,894
Jianyu Wang (王建宇),China,894
Sven Vaillant-Jørgensen,Denmark,894
Chengyang Song (宋成阳),China,894
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,894
Anderson Fielding,USA,894
Mateusz Gołaś,Poland,894
Davelno Danish Raziq,Indonesia,894
Yonghao Xu (徐永浩),China,894
Shmulik Kachuriner,Israel,894
Naren Ramesh,India,894
Izan Cantero Herrera,Spain,893
Joanna Hołdakowska,Poland,893
Dominic Cater,USA,893
Yong Chen (陈勇),China,893
Wiktor Lutowski,Poland,893
Jingxuan Ma (马靖轩),China,893
Amogh Prashanth,India,893
